user_id,stage,conversion
user_1501,homepage,True
user_2586,homepage,True
user_2653,homepage,True
user_1055,homepage,True
user_705,homepage,True
user_106,homepage,True
user_589,homepage,True
user_2468,homepage,True
user_2413,homepage,True
user_1600,homepage,True
user_2464,homepage,True
user_228,homepage,True
user_915,homepage,True
user_794,homepage,True
user_3021,homepage,True
user_3543,homepage,True
user_1073,homepage,True
user_3351,homepage,True
user_1744,homepage,True
user_1084,homepage,True
user_926,homepage,True
user_3049,homepage,True
user_1117,homepage,True
user_642,homepage,True
user_4767,homepage,True
user_501,homepage,True
user_4066,homepage,True
user_333,homepage,True
user_4684,homepage,True
user_486,homepage,True
user_1962,homepage,True
user_393,homepage,True
user_4842,homepage,True
user_4866,homepage,True
user_1755,homepage,True
user_2515,homepage,True
user_3585,homepage,True
user_4315,homepage,True
user_4966,homepage,True
user_2099,homepage,True
user_3599,homepage,True
user_4121,homepage,True
user_29,homepage,True
user_65,homepage,True
user_838,homepage,True
user_3906,homepage,True
user_3773,homepage,True
user_4635,homepage,True
user_3161,homepage,True
user_2659,homepage,True
